[17:43:17.280] [INFO   ] thread main starting.
[17:43:17.297] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:43:17.304] [SEVERE ] configuration file was loaded from resources directory.
[17:43:19.624] [SEVERE ] removing player 1 token from slot 5
[17:43:19.625] [SEVERE ] removing player 3 token from slot 3
[17:43:19.625] [SEVERE ] removing player 3 token from slot 11
[17:43:19.625] [SEVERE ] removing player 3 token from slot 9
[17:43:19.625] [SEVERE ] removing player 2 token from slot 11
[17:43:19.626] [SEVERE ] removing player 2 token from slot 2
[17:43:19.626] [SEVERE ] removing player 2 token from slot 10
[17:43:19.627] [SEVERE ] removing player 4 token from slot 7
[17:43:19.629] [SEVERE ] removing player 4 token from slot 5
[17:43:19.629] [SEVERE ] removing player 4 token from slot 9
[17:43:19.633] [SEVERE ] removing player 1 token from slot 5
[17:43:19.633] [SEVERE ] removing player 1 token from slot 9
[17:43:19.633] [SEVERE ] removing player 1 token from slot 11
[17:43:19.635] [SEVERE ] removing player 3 token from slot 6
[17:43:19.635] [SEVERE ] removing player 3 token from slot 1
[17:43:19.635] [SEVERE ] removing player 2 token from slot 9
[17:43:19.635] [SEVERE ] removing player 2 token from slot 10
[17:43:19.635] [SEVERE ] removing player 2 token from slot 7
[17:43:19.636] [SEVERE ] removing player 3 token from slot 11
[17:43:19.636] [SEVERE ] player 4 placing token on slot 2
[17:43:19.637] [SEVERE ] removing player 4 token from slot 5
[17:43:19.637] [SEVERE ] removing player 4 token from slot 11
[17:43:19.640] [SEVERE ] removing player 1 token from slot 2
[17:43:19.640] [SEVERE ] removing player 1 token from slot 8
[17:43:19.641] [SEVERE ] player 1 placing token on slot 0
[17:43:19.643] [SEVERE ] removing player 2 token from slot 11
[17:43:19.643] [SEVERE ] removing player 4 token from slot 9
[17:43:19.643] [SEVERE ] player 3 placing token on slot 3
[17:43:19.644] [SEVERE ] player 4 placing token on slot 3
[17:43:19.644] [SEVERE ] removing player 3 token from slot 11
[17:43:19.644] [SEVERE ] removing player 3 token from slot 8
[17:43:19.645] [SEVERE ] removing player 4 token from slot 2
[17:43:19.643] [SEVERE ] player 2 placing token on slot 3
[17:43:19.647] [SEVERE ] removing player 2 token from slot 1
[17:43:19.648] [SEVERE ] player 1 placing token on slot 4
[17:43:19.648] [SEVERE ] removing player 1 token from slot 8
[17:43:19.648] [SEVERE ] removing player 1 token from slot 6
[17:43:19.652] [SEVERE ] player 2 placing token on slot 1
[17:43:19.652] [SEVERE ] removing player 2 token from slot 9
[17:43:19.653] [SEVERE ] removing player 2 token from slot 8
[17:43:19.653] [SEVERE ] removing player 3 token from slot 6
[17:43:19.653] [SEVERE ] removing player 3 token from slot 5
[17:43:19.654] [SEVERE ] removing player 3 token from slot 3
[17:43:19.654] [SEVERE ] removing player 4 token from slot 3
[17:43:19.654] [SEVERE ] removing player 4 token from slot 10
